
--- Minimize function Ackley-10dim

TTOpt        | t=   0.2 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=1.9e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.0e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.9 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   1.0 | ey=3.5e-02 | evals=1.0e+05 | p=2, q=12, r=  4
TTOpt        | t=   0.5 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.4 | ey=3.5e-02 | evals=1.0e+05 | p=4, q= 6, r=  4
TTOpt        | t=   0.5 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.1e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=1.8e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.6 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.1e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.7 | ey=1.9e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   0.5 | ey=2.0e+01 | evals=1.0e+05 | n=16384, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   0.9 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   1.0 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   0.9 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   0.9 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=14, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
TTOpt        | t=   0.4 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 7, r=  4
