
--- Minimize function Ackley-10dim

TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.0 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   1.1 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  7
TTOpt        | t=   0.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.9 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.8 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  8
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.6 | ey=1.7e-01 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.7 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r=  9
TTOpt        | t=   0.6 | ey=4.6e-02 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=1.7e-01 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10
TTOpt        | t=   0.6 | ey=3.9e-06 | evals=1.0e+05 | p=2, q=25, r= 10



--- Minimize function Alpine-10dim

TTOpt        | t=  35.8 | ey=2.6e-01 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  35.2 | ey=4.3e-01 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  35.1 | ey=1.0e+00 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  33.7 | ey=4.5e-01 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  34.5 | ey=2.2e-03 | evals=1.0e+05 | p=2, q=25, r=  1
TTOpt        | t=  33.8 | ey=3.7e-01 | evals=1.0e+05 | p=2, q=25, r=  1
