
--- Minimize function Ackley-10dim

TTOpt        | t= 122.8 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.7 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.8 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.7 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.8 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.4 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.9 | ey=3.9e-06 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Grienwank-10dim

TTOpt        | t=   0.2 | ey=1.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=6.0e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=7.5e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=6.2e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.1e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=1.2e+00 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.2 | ey=7.4e-01 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=4.6e-02 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=6.2e-02 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=4.7e-10 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=1.4e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=4.3e-02 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=7.7e-08 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=1.1e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=5.0e-02 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=3.4e-01 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.6 | ey=9.2e-02 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=6.3e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=3.3e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.7e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.7e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.7e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=7.7e-08 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=1.7e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=4.3e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=1.0e-06 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   1.2 | ey=7.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=1.2e-09 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.8 | ey=1.1e-09 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=4.7e-10 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   5.7 | ey=5.6e-09 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  11.6 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.1 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.0 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  12.0 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.9 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.9 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.9 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.7 | ey=4.7e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  11.4 | ey=7.9e-10 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.2 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.8 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.7 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  57.7 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  56.6 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.3 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  73.7 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  60.1 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.3 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  59.2 | ey=4.7e-10 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 123.6 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 120.5 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 116.8 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 122.4 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 118.5 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 120.4 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 143.7 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 131.6 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 124.4 | ey=4.7e-10 | evals=1.0e+07 | p=2, q=25, r=  4
